"","team","passer","time","mins","secs","x.start","y.start","x.end","y.end","outcome","assist","key","headed","throw","receiver"
"439","Hudd Town","Aaron Mooy",2052,34,12,66.6,75.4,61.1,75,"completed","0","0","0","0","Jonathan Hogg"
"440","Hudd Town","Jonathan Hogg",2056,34,16,57.5,75.1,42.9,77.3,"completed","0","0","0","0","Christopher Schindler"
"441","Hudd Town","Christopher Schindler",2058,34,18,42.9,77.3,56.1,95.6,"completed","0","0","0","0","Chris Löwe"
"442","Hudd Town","Chris Löwe",2061,34,21,46,86.8,38.3,61.2,"completed","0","0","0","0","Tommy Smith"
"443","Hudd Town","Jonathan Hogg",2066,34,26,38.1,53.3,73.6,9.5,"failed","0","0","0","0","Laurent Depoitre"
"444","Hudd Town","Tommy Smith",2073,34,33,70.8,0,51.7,13.1,"completed","0","0","0","1","Zanka"
"445","Hudd Town","Zanka",2078,34,38,47.9,15.9,41.6,44.2,"completed","0","0","0","0","Christopher Schindler"
"446","Hudd Town","Christopher Schindler",2080,34,40,39.8,50.4,43.8,88.1,"completed","0","0","0","0","Chris Löwe"
"447","Hudd Town","Chris Löwe",2083,34,43,44.3,89.7,76.7,90.9,"completed","0","0","0","0",NA
"448","Hudd Town","Aaron Mooy",2086,34,46,41.8,78.1,33,37.6,"completed","0","0","0","0","Zanka"
"449","Hudd Town","Zanka",2099,34,59,33.2,37.4,30.1,81.1,"completed","0","0","0","0","Christopher Schindler"
"450","Liverpool","Mohamed Salah",2127,35,27,88.3,91.5,90.7,93.2,"completed","0","0","0","0","Alberto Moreno"
"451","Liverpool","Ragnar Klavan",2181,36,21,32.7,81.2,22.4,94.2,"failed","0","0","1","0","Roberto Firmino"
"452","Liverpool","Alberto Moreno",2190,36,30,23.8,100,23.1,88.4,"completed","0","0","0","1","Jordan Henderson"
"453","Liverpool","Jordan Henderson",2191,36,31,23.1,88.4,25,97.8,"completed","0","0","0","0","Alberto Moreno"
"454","Liverpool","Alberto Moreno",2192,36,32,25.2,96.6,33.6,74.7,"completed","0","0","0","0","Jordan Henderson"
"455","Liverpool","Roberto Firmino",2198,36,38,49.5,72.7,62.5,67.3,"failed","0","0","0","0","Mohamed Salah"
"456","Liverpool","Jordan Henderson",2210,36,50,24.8,87.8,12.5,68.1,"completed","0","0","0","0","Ragnar Klavan"
"457","Liverpool","Ragnar Klavan",2212,36,52,12.5,68.1,7.6,44.5,"completed","0","0","0","0","Simon Mignolet"
"458","Liverpool","Simon Mignolet",2215,36,55,13.1,47.2,28.3,79.7,"completed","0","0","0","0","Jordan Henderson"
"459","Liverpool","Jordan Henderson",2222,37,2,30,78.8,41.2,96,"completed","0","0","0","0","Alberto Moreno"
"460","Liverpool","James Milner",2228,37,8,67,30.7,77.1,32.2,"completed","0","0","0","0","Joseph Gomez"
"461","Liverpool","Mohamed Salah",2230,37,10,77,31.9,79.5,33.3,"failed","0","0","0","0","James Milner"
"462","Liverpool","Joseph Gomez",2237,37,17,65.7,18.2,79.5,2,"completed","0","0","0","0","Jonathan Hogg"
"463","Liverpool","James Milner",2241,37,21,74.5,2.8,75.9,4,"failed","0","0","0","0","Alberto Moreno"
"464","Hudd Town","Jonathan Hogg",2245,37,25,33,68.2,39,77.8,"completed","0","0","0","0","Joseph Gomez"
"465","Liverpool","Alberto Moreno",2266,37,46,54,94.7,40.5,67,"completed","0","0","0","0","Jordan Henderson"
"466","Liverpool","Jordan Henderson",2279,37,59,39.7,66.3,46.7,41.2,"completed","0","0","0","0","James Milner"
"467","Liverpool","James Milner",2286,38,6,45,25.6,46.1,47.3,"completed","0","0","0","0","Jordan Henderson"
"468","Liverpool","Jordan Henderson",2288,38,8,46.1,47.3,56.7,72.9,"completed","0","0","0","0","Georginio Wijnaldum"
"469","Liverpool","Roberto Firmino",2290,38,10,57.4,72.4,67.6,74.2,"completed","0","0","0","0","Roberto Firmino"
"470","Liverpool","Georginio Wijnaldum",2291,38,11,67.6,74.2,60.4,82.1,"completed","0","0","0","0","Roberto Firmino"
"471","Liverpool","Roberto Firmino",2295,38,15,61.9,89.7,63.8,94.5,"completed","0","0","0","0","Georginio Wijnaldum"
"472","Liverpool","Georginio Wijnaldum",2299,38,19,59.3,90.9,30.1,45.1,"completed","0","0","0","0","Simon Mignolet"
